Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,CP10A_scaffolds.fasta_PROKKA_09032023,CP12E_scaffolds.fasta_PROKKA_09032023,CP13A_scaffolds.fasta_PROKKA_09032023,CP15C_scaffolds.fasta_PROKKA_09032023,CP17D_scaffolds.fasta_PROKKA_09032023,CP19F2_scaffolds.fasta_PROKKA_09032023,CP20G1_scaffolds.fasta_PROKKA_09032023,CP2A_scaffolds.fasta_PROKKA_09032023,CP3F2_scaffolds.fasta_PROKKA_09032023,CP5A_scaffolds.fasta_PROKKA_09032023
clpP_2,clpP_2,ATP-dependent Clp protease proteolytic subunit,10,10,1.0,1,2875,,,,636,636,636.0,JPLAHNLF_03957,JAGMMPDK_04079,EONIFOAI_01849,BJIDENJG_02148,HGPKINJB_01967,IJMDIMPO_03149,CJGAGBCL_03438,OLBBELCE_03193,DHHEPMPN_02260,IHHDMFPH_03510
lexA_3,lexA_3,LexA repressor,10,10,1.0,1,2874,,,,636,636,636.0,JPLAHNLF_03926,JAGMMPDK_04110,EONIFOAI_01819,BJIDENJG_02178,HGPKINJB_01997,IJMDIMPO_03180,CJGAGBCL_03469,OLBBELCE_03162,DHHEPMPN_02291,IHHDMFPH_03540
ccmA,ccmA,Cytochrome c biogenesis ATP-binding export protein CcmA,10,10,1.0,1,2873,,,,636,636,636.0,JPLAHNLF_03212,JAGMMPDK_03079,EONIFOAI_05549,BJIDENJG_05968,HGPKINJB_03501,IJMDIMPO_03954,CJGAGBCL_02939,OLBBELCE_04780,DHHEPMPN_03639,IHHDMFPH_01020
rluE,rluE,Ribosomal large subunit pseudouridine synthase E,10,10,1.0,1,2872,,,,636,636,636.0,JPLAHNLF_02838,JAGMMPDK_02526,EONIFOAI_05053,BJIDENJG_04054,HGPKINJB_02518,IJMDIMPO_03389,CJGAGBCL_01664,OLBBELCE_02686,DHHEPMPN_01345,IHHDMFPH_01871
hisG,hisG,ATP phosphoribosyltransferase,10,10,1.0,1,2871,,,,636,636,636.0,JPLAHNLF_02368,JAGMMPDK_01767,EONIFOAI_04414,BJIDENJG_02286,HGPKINJB_05261,IJMDIMPO_01391,CJGAGBCL_03309,OLBBELCE_00279,DHHEPMPN_02500,IHHDMFPH_01192
tolQ_3,tolQ_3,Tol-Pal system protein TolQ,10,10,1.0,1,2870,,,,636,636,636.0,JPLAHNLF_01992,JAGMMPDK_02060,EONIFOAI_01673,BJIDENJG_04876,HGPKINJB_02144,IJMDIMPO_02879,CJGAGBCL_01891,OLBBELCE_03927,DHHEPMPN_01091,IHHDMFPH_04854
group_1168,,hypothetical protein,10,10,1.0,1,2869,,,,636,636,636.0,JPLAHNLF_01174,JAGMMPDK_01254,EONIFOAI_00726,BJIDENJG_01004,HGPKINJB_01558,IJMDIMPO_01832,CJGAGBCL_01139,OLBBELCE_01956,DHHEPMPN_00746,IHHDMFPH_00403
betI_3,betI_3,HTH-type transcriptional regulator BetI,10,10,1.0,1,2868,,,,636,636,636.0,JPLAHNLF_01145,JAGMMPDK_01225,EONIFOAI_00706,BJIDENJG_01024,HGPKINJB_01578,IJMDIMPO_01861,CJGAGBCL_01110,OLBBELCE_01927,DHHEPMPN_00775,IHHDMFPH_00433
group_1167,,hypothetical protein,10,10,1.0,1,2867,,,,636,636,636.0,JPLAHNLF_00500,JAGMMPDK_00621,EONIFOAI_01263,BJIDENJG_00386,HGPKINJB_00745,IJMDIMPO_00500,CJGAGBCL_00544,OLBBELCE_01168,DHHEPMPN_00499,IHHDMFPH_00885
rluA,rluA,Dual-specificity RNA pseudouridine synthase RluA,10,10,1.0,1,2866,,,,636,636,636.0,JPLAHNLF_00441,JAGMMPDK_00680,EONIFOAI_01326,BJIDENJG_00322,HGPKINJB_00808,IJMDIMPO_00441,CJGAGBCL_00603,OLBBELCE_01109,DHHEPMPN_00440,IHHDMFPH_00823
gbpA,gbpA,GlcNAc-binding protein A,10,10,1.0,1,2865,,,,636,636,636.0,JPLAHNLF_00427,JAGMMPDK_00694,EONIFOAI_01340,BJIDENJG_00308,HGPKINJB_00822,IJMDIMPO_00427,CJGAGBCL_00617,OLBBELCE_01095,DHHEPMPN_00426,IHHDMFPH_00809
nth,nth,Endonuclease III,10,10,1.0,1,2861,,,,639,639,639.0,JPLAHNLF_04253,JAGMMPDK_04213,EONIFOAI_03764,BJIDENJG_04138,HGPKINJB_03950,IJMDIMPO_04553,CJGAGBCL_04381,OLBBELCE_04897,DHHEPMPN_04297,IHHDMFPH_03886
betI_4,betI_4,HTH-type transcriptional regulator BetI,10,10,1.0,1,2859,,,,639,639,639.0,JPLAHNLF_03753,JAGMMPDK_03623,EONIFOAI_02502,BJIDENJG_03880,HGPKINJB_02671,IJMDIMPO_03795,CJGAGBCL_02501,OLBBELCE_04240,DHHEPMPN_04183,IHHDMFPH_02422
upp,upp,Uracil phosphoribosyltransferase,10,10,1.0,1,2858,,,,639,639,639.0,JPLAHNLF_02372,JAGMMPDK_01771,EONIFOAI_04410,BJIDENJG_02282,HGPKINJB_05257,IJMDIMPO_01395,CJGAGBCL_03313,OLBBELCE_00283,DHHEPMPN_02504,IHHDMFPH_01188
rhtC_1,rhtC_1,Threonine efflux protein,10,10,1.0,1,2857,,,,639,639,639.0,JPLAHNLF_02120,JAGMMPDK_01519,EONIFOAI_04341,BJIDENJG_02508,HGPKINJB_03716,IJMDIMPO_01143,CJGAGBCL_03938,OLBBELCE_00031,DHHEPMPN_04574,IHHDMFPH_01398
rhtB_1,rhtB_1,Homoserine/homoserine lactone efflux protein,10,10,1.0,1,2856,,,,639,639,639.0,JPLAHNLF_00456,JAGMMPDK_00665,EONIFOAI_01310,BJIDENJG_00338,HGPKINJB_00792,IJMDIMPO_00456,CJGAGBCL_00588,OLBBELCE_01124,DHHEPMPN_00455,IHHDMFPH_00838
group_1162,,hypothetical protein,10,10,1.0,1,2855,,,,639,639,639.0,JPLAHNLF_00027,JAGMMPDK_01095,EONIFOAI_06035,BJIDENJG_05253,HGPKINJB_05448,IJMDIMPO_00027,CJGAGBCL_05550,OLBBELCE_00697,DHHEPMPN_00027,IHHDMFPH_04313
group_1161,,Ribonuclease,10,10,1.0,1,2854,,,,642,642,642.0,JPLAHNLF_05913,JAGMMPDK_05893,EONIFOAI_03226,BJIDENJG_04355,HGPKINJB_04286,IJMDIMPO_05880,CJGAGBCL_04046,OLBBELCE_03073,DHHEPMPN_05606,IHHDMFPH_03998
pcp,pcp,Pyrrolidone-carboxylate peptidase,10,10,1.0,1,2853,,,,642,642,642.0,JPLAHNLF_05148,JAGMMPDK_05049,EONIFOAI_02101,BJIDENJG_01896,HGPKINJB_03173,IJMDIMPO_05389,CJGAGBCL_05044,OLBBELCE_05417,DHHEPMPN_05251,IHHDMFPH_03809
cynT_1,cynT_1,Carbonic anhydrase 1,10,10,1.0,1,2852,,,,642,642,642.0,JPLAHNLF_04876,JAGMMPDK_04867,EONIFOAI_01235,BJIDENJG_00414,HGPKINJB_00717,IJMDIMPO_00530,CJGAGBCL_04657,OLBBELCE_01198,DHHEPMPN_04936,IHHDMFPH_00913
group_1159,,hypothetical protein,10,10,1.0,1,2850,,,,642,642,642.0,JPLAHNLF_03498,JAGMMPDK_04333,EONIFOAI_03583,BJIDENJG_02837,HGPKINJB_03218,IJMDIMPO_04453,CJGAGBCL_02022,OLBBELCE_03792,DHHEPMPN_04445,IHHDMFPH_03278
group_1158,,hypothetical protein,10,10,1.0,1,2849,,,,642,642,642.0,JPLAHNLF_02990,JAGMMPDK_02725,EONIFOAI_03314,BJIDENJG_04443,HGPKINJB_04374,IJMDIMPO_03588,CJGAGBCL_02194,OLBBELCE_02985,DHHEPMPN_02984,IHHDMFPH_04090
group_1157,,hypothetical protein,10,10,1.0,1,2848,,,,642,642,642.0,JPLAHNLF_02879,JAGMMPDK_02567,EONIFOAI_05094,BJIDENJG_05429,HGPKINJB_02559,IJMDIMPO_03430,CJGAGBCL_01623,OLBBELCE_02727,DHHEPMPN_01386,IHHDMFPH_01912
leuD1_2,leuD1_2,3-isopropylmalate dehydratase small subunit 1,10,10,1.0,1,2845,,,,645,645,645.0,JPLAHNLF_05836,JAGMMPDK_05830,EONIFOAI_06141,BJIDENJG_00500,HGPKINJB_00629,IJMDIMPO_05912,CJGAGBCL_05791,OLBBELCE_01280,DHHEPMPN_05905,IHHDMFPH_05027
nagL,nagL,Maleylpyruvate isomerase,10,10,1.0,1,2844,,,,645,645,645.0,JPLAHNLF_04100,JAGMMPDK_03489,EONIFOAI_02944,BJIDENJG_03653,HGPKINJB_04212,IJMDIMPO_01527,CJGAGBCL_04195,OLBBELCE_00415,DHHEPMPN_02703,IHHDMFPH_04442
group_1154,,hypothetical protein,10,10,1.0,1,2843,,,,645,645,645.0,JPLAHNLF_03296,JAGMMPDK_03163,EONIFOAI_04565,BJIDENJG_04539,HGPKINJB_03417,IJMDIMPO_04038,CJGAGBCL_02855,OLBBELCE_04696,DHHEPMPN_03555,IHHDMFPH_01104
group_1153,,hypothetical protein,10,10,1.0,1,2842,,,,645,645,645.0,JPLAHNLF_02934,JAGMMPDK_02781,EONIFOAI_03258,BJIDENJG_04387,HGPKINJB_04318,IJMDIMPO_03644,CJGAGBCL_04014,OLBBELCE_03041,DHHEPMPN_03040,IHHDMFPH_04033
nadD,nadD,putative nicotinate-nucleotide adenylyltransferase,10,10,1.0,1,2841,,,,645,645,645.0,JPLAHNLF_02870,JAGMMPDK_02558,EONIFOAI_05085,BJIDENJG_05438,HGPKINJB_02550,IJMDIMPO_03421,CJGAGBCL_01632,OLBBELCE_02718,DHHEPMPN_01377,IHHDMFPH_01903
pqiA_3,pqiA_3,Intermembrane transport protein PqiA,10,10,1.0,1,2840,,,,645,645,645.0,JPLAHNLF_02399,JAGMMPDK_01797,EONIFOAI_04384,BJIDENJG_02256,HGPKINJB_05231,IJMDIMPO_01421,CJGAGBCL_03339,OLBBELCE_00309,DHHEPMPN_02530,IHHDMFPH_05124
can,can,Carbonic anhydrase 2,10,10,1.0,1,2839,,,,645,645,645.0,JPLAHNLF_02100,JAGMMPDK_01499,EONIFOAI_04361,BJIDENJG_02528,HGPKINJB_03736,IJMDIMPO_01123,CJGAGBCL_03958,OLBBELCE_00011,DHHEPMPN_04594,IHHDMFPH_01418
vraR,vraR,Response regulator protein VraR,10,10,1.0,1,2838,,,,645,645,645.0,JPLAHNLF_01183,JAGMMPDK_01263,EONIFOAI_00736,BJIDENJG_00994,HGPKINJB_01548,IJMDIMPO_01823,CJGAGBCL_01148,OLBBELCE_01965,DHHEPMPN_00737,IHHDMFPH_00394
tolQ_5,tolQ_5,Tol-Pal system protein TolQ,10,10,1.0,1,2834,,,,648,648,648.0,JPLAHNLF_05822,JAGMMPDK_05815,EONIFOAI_05225,BJIDENJG_05744,HGPKINJB_04655,IJMDIMPO_05528,CJGAGBCL_04637,OLBBELCE_05061,DHHEPMPN_05824,IHHDMFPH_05589
kdpC_2,kdpC_2,Potassium-transporting ATPase KdpC subunit,10,10,1.0,1,2833,,,,648,648,648.0,JPLAHNLF_05349,JAGMMPDK_05326,EONIFOAI_05254,BJIDENJG_00524,HGPKINJB_04684,IJMDIMPO_05492,CJGAGBCL_04609,OLBBELCE_05542,DHHEPMPN_05417,IHHDMFPH_05004
group_1149,rcsB_3,Transcriptional regulatory protein RcsB,10,10,1.0,1,2832,,,,648,648,648.0,JPLAHNLF_04484,JAGMMPDK_04000,EONIFOAI_01984,BJIDENJG_02014,HGPKINJB_03056,IJMDIMPO_03014,CJGAGBCL_03557,OLBBELCE_03328,DHHEPMPN_02126,IHHDMFPH_03750
adk,adk,Adenylate kinase,10,10,1.0,1,2831,,,,648,648,648.0,JPLAHNLF_04180,JAGMMPDK_04286,EONIFOAI_03831,BJIDENJG_04071,HGPKINJB_03883,IJMDIMPO_04480,CJGAGBCL_04740,OLBBELCE_04824,DHHEPMPN_04224,IHHDMFPH_03954
dhaL2,dhaL-2,PEP-dependent dihydroxyacetone kinase 2 ADP-binding subunit DhaL,10,10,1.0,1,2830,,,,648,648,648.0,JPLAHNLF_03587,JAGMMPDK_03284,EONIFOAI_02664,BJIDENJG_04928,HGPKINJB_04850,IJMDIMPO_04744,CJGAGBCL_02986,OLBBELCE_00621,DHHEPMPN_04754,IHHDMFPH_05086
mobA_2,mobA_2,Molybdenum cofactor guanylyltransferase,10,10,1.0,1,2829,,,,648,648,648.0,JPLAHNLF_03217,JAGMMPDK_03084,EONIFOAI_04486,BJIDENJG_04460,HGPKINJB_03496,IJMDIMPO_03959,CJGAGBCL_02934,OLBBELCE_04775,DHHEPMPN_03634,IHHDMFPH_01025
lipB,lipB,Octanoyltransferase,10,10,1.0,1,2828,,,,648,648,648.0,JPLAHNLF_02861,JAGMMPDK_02549,EONIFOAI_05076,BJIDENJG_05447,HGPKINJB_02541,IJMDIMPO_03412,CJGAGBCL_01641,OLBBELCE_02709,DHHEPMPN_01368,IHHDMFPH_01894
group_1148,,hypothetical protein,10,10,1.0,1,2827,,,,648,648,648.0,JPLAHNLF_01886,JAGMMPDK_01953,EONIFOAI_03412,BJIDENJG_03147,HGPKINJB_02881,IJMDIMPO_02773,CJGAGBCL_03732,OLBBELCE_04956,DHHEPMPN_00985,IHHDMFPH_02844
nicS_1,nicS_1,HTH-type transcriptional repressor NicS,10,10,1.0,1,2826,,,,648,648,648.0,JPLAHNLF_01044,JAGMMPDK_01124,EONIFOAI_00613,BJIDENJG_01117,HGPKINJB_01671,IJMDIMPO_01962,CJGAGBCL_01009,OLBBELCE_01826,DHHEPMPN_00876,IHHDMFPH_00526
lnrK,lnrK,Transcriptional regulatory protein LnrK,10,10,1.0,1,2824,,,,651,651,651.0,JPLAHNLF_04219,JAGMMPDK_04247,EONIFOAI_03797,BJIDENJG_04105,HGPKINJB_03917,IJMDIMPO_04519,CJGAGBCL_04347,OLBBELCE_04863,DHHEPMPN_04263,IHHDMFPH_03920
gltF_2,gltF_2,Protein GltF,10,10,1.0,1,2823,,,,651,651,651.0,JPLAHNLF_04078,JAGMMPDK_03511,EONIFOAI_02966,BJIDENJG_03675,HGPKINJB_04234,IJMDIMPO_01505,CJGAGBCL_04217,OLBBELCE_00393,DHHEPMPN_02681,IHHDMFPH_04464
group_1146,,hypothetical protein,10,10,1.0,1,2822,,,,651,651,651.0,JPLAHNLF_03913,JAGMMPDK_04123,EONIFOAI_01805,BJIDENJG_02192,HGPKINJB_02011,IJMDIMPO_03193,CJGAGBCL_03482,OLBBELCE_03149,DHHEPMPN_02304,IHHDMFPH_03553
group_1145,,hypothetical protein,10,10,1.0,1,2821,,,,651,651,651.0,JPLAHNLF_03816,JAGMMPDK_03686,EONIFOAI_02437,BJIDENJG_03815,HGPKINJB_02736,IJMDIMPO_03732,CJGAGBCL_02564,OLBBELCE_04303,DHHEPMPN_04120,IHHDMFPH_02354
rlmE,rlmE,Ribosomal RNA large subunit methyltransferase E,10,10,1.0,1,2820,,,,651,651,651.0,JPLAHNLF_02725,JAGMMPDK_02413,EONIFOAI_04046,BJIDENJG_03962,HGPKINJB_02426,IJMDIMPO_03276,CJGAGBCL_01778,OLBBELCE_02573,DHHEPMPN_01232,IHHDMFPH_01778
group_1144,,hypothetical protein,10,10,1.0,1,2819,,,,651,651,651.0,JPLAHNLF_02364,JAGMMPDK_01763,EONIFOAI_04418,BJIDENJG_02290,HGPKINJB_05265,IJMDIMPO_01387,CJGAGBCL_03305,OLBBELCE_00275,DHHEPMPN_02496,IHHDMFPH_01196
tmk_2,tmk_2,Thymidylate kinase,10,10,1.0,1,2818,,,,651,651,651.0,JPLAHNLF_01220,JAGMMPDK_01300,EONIFOAI_00773,BJIDENJG_00957,HGPKINJB_01511,IJMDIMPO_01786,CJGAGBCL_01185,OLBBELCE_02002,DHHEPMPN_00700,IHHDMFPH_00357
group_1143,,hypothetical protein,10,10,1.0,1,2817,,,,651,651,651.0,JPLAHNLF_01190,JAGMMPDK_01270,EONIFOAI_00743,BJIDENJG_00987,HGPKINJB_01541,IJMDIMPO_01816,CJGAGBCL_01155,OLBBELCE_01972,DHHEPMPN_00730,IHHDMFPH_00387
purN_1,purN_1,Phosphoribosylglycinamide formyltransferase,10,10,1.0,1,2816,,,,651,651,651.0,JPLAHNLF_00252,JAGMMPDK_00869,EONIFOAI_01455,BJIDENJG_00193,HGPKINJB_00937,IJMDIMPO_00252,CJGAGBCL_00790,OLBBELCE_00922,DHHEPMPN_00253,IHHDMFPH_00694
group_1141,,putative phosphatase,10,10,1.0,1,2814,,,,654,654,654.0,JPLAHNLF_05361,JAGMMPDK_05338,EONIFOAI_05266,BJIDENJG_00536,HGPKINJB_04696,IJMDIMPO_05480,CJGAGBCL_04597,OLBBELCE_05554,DHHEPMPN_05405,IHHDMFPH_04992
group_1140,,hypothetical protein,10,10,1.0,1,2813,,,,654,654,654.0,JPLAHNLF_04287,JAGMMPDK_04179,EONIFOAI_03730,BJIDENJG_04172,HGPKINJB_03984,IJMDIMPO_04587,CJGAGBCL_04415,OLBBELCE_04931,DHHEPMPN_04331,IHHDMFPH_03852
osmW_1,osmW_1,Osmoprotectant import permease protein OsmW,10,10,1.0,1,2811,,,,654,654,654.0,JPLAHNLF_02288,JAGMMPDK_01687,EONIFOAI_05916,BJIDENJG_02366,HGPKINJB_03574,IJMDIMPO_01311,CJGAGBCL_04081,OLBBELCE_00199,DHHEPMPN_02420,IHHDMFPH_01272
fliP_2,fliP_2,Flagellar biosynthetic protein FliP,10,10,1.0,1,2810,,,,654,654,654.0,JPLAHNLF_02137,JAGMMPDK_01536,EONIFOAI_04303,BJIDENJG_02470,HGPKINJB_03678,IJMDIMPO_01160,CJGAGBCL_03921,OLBBELCE_00048,DHHEPMPN_04557,IHHDMFPH_01375
spaP_2,spaP_2,Surface presentation of antigens protein SpaP,10,10,1.0,1,2809,,,,654,654,654.0,JPLAHNLF_02063,JAGMMPDK_02131,EONIFOAI_01744,BJIDENJG_04805,HGPKINJB_02073,IJMDIMPO_02950,CJGAGBCL_01962,OLBBELCE_03856,DHHEPMPN_01162,IHHDMFPH_03615
dedD,dedD,Cell division protein DedD,10,10,1.0,1,2805,,,,657,657,657.0,JPLAHNLF_05846,JAGMMPDK_05840,EONIFOAI_06131,BJIDENJG_00510,HGPKINJB_00619,IJMDIMPO_05902,CJGAGBCL_05781,OLBBELCE_01290,DHHEPMPN_05884,IHHDMFPH_05017
trmR,trmR,tRNA 5-hydroxyuridine methyltransferase,10,10,1.0,1,2804,,,,657,657,657.0,JPLAHNLF_05036,JAGMMPDK_05702,EONIFOAI_01101,BJIDENJG_00629,HGPKINJB_01184,IJMDIMPO_05325,CJGAGBCL_05369,OLBBELCE_05320,DHHEPMPN_05187,IHHDMFPH_00056
group_1135,,hypothetical protein,10,10,1.0,1,2803,,,,657,657,657.0,JPLAHNLF_04654,JAGMMPDK_04822,EONIFOAI_05147,BJIDENJG_05127,HGPKINJB_05188,IJMDIMPO_05003,CJGAGBCL_04314,OLBBELCE_02782,DHHEPMPN_01441,IHHDMFPH_01963
group_1134,,hypothetical protein,10,10,1.0,1,2801,,,,657,657,657.0,JPLAHNLF_04142,JAGMMPDK_03447,EONIFOAI_02900,BJIDENJG_03609,HGPKINJB_04168,IJMDIMPO_01569,CJGAGBCL_05468,OLBBELCE_00457,DHHEPMPN_02745,IHHDMFPH_04398
estB_2,estB_2,Carboxylesterase 2,10,10,1.0,1,2800,,,,657,657,657.0,JPLAHNLF_04068,JAGMMPDK_03521,EONIFOAI_02975,BJIDENJG_03684,HGPKINJB_04243,IJMDIMPO_01495,CJGAGBCL_04227,OLBBELCE_00383,DHHEPMPN_02671,IHHDMFPH_04473
algF,algF,Alginate biosynthesis protein AlgF,10,10,1.0,1,2799,,,,657,657,657.0,JPLAHNLF_04049,JAGMMPDK_01852,EONIFOAI_02994,BJIDENJG_03703,HGPKINJB_04262,IJMDIMPO_01476,CJGAGBCL_03393,OLBBELCE_00364,DHHEPMPN_02585,IHHDMFPH_05175
tpm,tpm,Thiopurine S-methyltransferase,10,10,1.0,1,2798,,,,657,657,657.0,JPLAHNLF_03242,JAGMMPDK_03109,EONIFOAI_04511,BJIDENJG_04485,HGPKINJB_03471,IJMDIMPO_03984,CJGAGBCL_02909,OLBBELCE_04750,DHHEPMPN_03609,IHHDMFPH_01050
dedA,dedA,Protein DedA,10,10,1.0,1,2797,,,,657,657,657.0,JPLAHNLF_02894,JAGMMPDK_02582,EONIFOAI_05107,BJIDENJG_05416,HGPKINJB_02572,IJMDIMPO_03445,CJGAGBCL_01608,OLBBELCE_02742,DHHEPMPN_01401,IHHDMFPH_01928
group_1133,,hypothetical protein,10,10,1.0,1,2796,,,,660,660,660.0,JPLAHNLF_05812,JAGMMPDK_05805,EONIFOAI_05235,BJIDENJG_05754,HGPKINJB_04665,IJMDIMPO_05538,CJGAGBCL_04627,OLBBELCE_05051,DHHEPMPN_05814,IHHDMFPH_05599
group_1132,,hypothetical protein,10,10,1.0,1,2795,,,,660,660,660.0,JPLAHNLF_05486,JAGMMPDK_05433,EONIFOAI_01090,BJIDENJG_00640,HGPKINJB_01195,IJMDIMPO_05314,CJGAGBCL_05422,OLBBELCE_05650,DHHEPMPN_05176,IHHDMFPH_00067
nanR_2,nanR_2,HTH-type transcriptional repressor NanR,10,10,1.0,1,2794,,,,660,660,660.0,JPLAHNLF_04075,JAGMMPDK_03514,EONIFOAI_02968,BJIDENJG_03677,HGPKINJB_04236,IJMDIMPO_01502,CJGAGBCL_04220,OLBBELCE_00390,DHHEPMPN_02678,IHHDMFPH_04466
scoB,scoB,putative succinyl-CoA:3-ketoacid coenzyme A transferase subunit B,10,10,1.0,1,2793,,,,660,660,660.0,JPLAHNLF_03795,JAGMMPDK_03665,EONIFOAI_02458,BJIDENJG_03836,HGPKINJB_02715,IJMDIMPO_03753,CJGAGBCL_02543,OLBBELCE_04282,DHHEPMPN_04141,IHHDMFPH_02378
pqiA_1,pqiA_1,Intermembrane transport protein PqiA,10,10,1.0,1,2791,,,,660,660,660.0,JPLAHNLF_02091,JAGMMPDK_01490,EONIFOAI_04370,BJIDENJG_02537,HGPKINJB_03745,IJMDIMPO_01114,CJGAGBCL_03967,OLBBELCE_00002,DHHEPMPN_04603,IHHDMFPH_01427
degU,degU,Transcriptional regulatory protein DegU,10,10,1.0,1,2790,,,,660,660,660.0,JPLAHNLF_00409,JAGMMPDK_00712,EONIFOAI_01358,BJIDENJG_00290,HGPKINJB_00840,IJMDIMPO_00409,CJGAGBCL_00635,OLBBELCE_01077,DHHEPMPN_00408,IHHDMFPH_00791
mcbR,mcbR,HTH-type transcriptional regulator McbR,10,10,1.0,1,2789,,,,660,660,660.0,JPLAHNLF_00144,JAGMMPDK_00977,EONIFOAI_01561,BJIDENJG_00087,HGPKINJB_01043,IJMDIMPO_00144,CJGAGBCL_00898,OLBBELCE_00814,DHHEPMPN_00145,IHHDMFPH_00595
group_1131,,hypothetical protein,10,10,1.0,1,2788,,,,660,660,660.0,JPLAHNLF_00080,JAGMMPDK_01041,EONIFOAI_01625,BJIDENJG_00022,HGPKINJB_01107,IJMDIMPO_00080,CJGAGBCL_00962,OLBBELCE_00750,DHHEPMPN_00081,IHHDMFPH_00531
group_1130,,hypothetical protein,10,10,1.0,1,2787,,,,663,663,663.0,JPLAHNLF_03965,JAGMMPDK_04072,EONIFOAI_01857,BJIDENJG_02141,HGPKINJB_01960,IJMDIMPO_03141,CJGAGBCL_03431,OLBBELCE_03201,DHHEPMPN_02253,IHHDMFPH_04559
glnP_2,glnP_2,Glutamine transport system permease protein GlnP,10,10,1.0,1,2786,,,,663,663,663.0,JPLAHNLF_03573,JAGMMPDK_03270,EONIFOAI_02678,BJIDENJG_04914,HGPKINJB_04836,IJMDIMPO_04730,CJGAGBCL_02972,OLBBELCE_00635,DHHEPMPN_04768,IHHDMFPH_05100
glnP_1,glnP_1,Glutamine transport system permease protein GlnP,10,10,1.0,1,2785,,,,663,663,663.0,JPLAHNLF_03572,JAGMMPDK_03269,EONIFOAI_02679,BJIDENJG_04913,HGPKINJB_04835,IJMDIMPO_04729,CJGAGBCL_02971,OLBBELCE_00636,DHHEPMPN_04769,IHHDMFPH_05101
ppaX,ppaX,Pyrophosphatase PpaX,10,10,1.0,1,2783,,,,663,663,663.0,JPLAHNLF_00008,JAGMMPDK_01114,EONIFOAI_06054,BJIDENJG_05272,HGPKINJB_05429,IJMDIMPO_00008,CJGAGBCL_05569,OLBBELCE_00678,DHHEPMPN_00008,IHHDMFPH_05724
group_1128,,hypothetical protein,10,10,1.0,1,2781,,,,666,666,666.0,JPLAHNLF_05668,JAGMMPDK_03221,EONIFOAI_04849,BJIDENJG_03044,HGPKINJB_05753,IJMDIMPO_04096,CJGAGBCL_02797,OLBBELCE_03616,DHHEPMPN_05692,IHHDMFPH_05674
metP_2,metP_2,Methionine import system permease protein MetP,10,10,1.0,1,2780,,,,666,666,666.0,JPLAHNLF_05384,JAGMMPDK_05361,EONIFOAI_05289,BJIDENJG_00559,HGPKINJB_04719,IJMDIMPO_05457,CJGAGBCL_04574,OLBBELCE_05577,DHHEPMPN_05382,IHHDMFPH_04969
hpcE_1,hpcE_1,Homoprotocatechuate catabolism bifunctional isomerase/decarboxylase,10,10,1.0,1,2779,,,,666,666,666.0,JPLAHNLF_04446,JAGMMPDK_03962,EONIFOAI_01946,BJIDENJG_02052,HGPKINJB_03018,IJMDIMPO_03052,CJGAGBCL_03595,OLBBELCE_03290,DHHEPMPN_02164,IHHDMFPH_03712
qseB_5,qseB_5,Transcriptional regulatory protein QseB,10,10,1.0,1,2778,,,,666,666,666.0,JPLAHNLF_03726,JAGMMPDK_03596,EONIFOAI_02530,BJIDENJG_03908,HGPKINJB_02643,IJMDIMPO_03822,CJGAGBCL_02474,OLBBELCE_04213,DHHEPMPN_04210,IHHDMFPH_02450
metI,metI,D-methionine transport system permease protein MetI,10,10,1.0,1,2777,,,,666,666,666.0,JPLAHNLF_03654,JAGMMPDK_03351,EONIFOAI_02597,BJIDENJG_04995,HGPKINJB_04917,IJMDIMPO_04811,CJGAGBCL_03053,OLBBELCE_00554,DHHEPMPN_02842,IHHDMFPH_02517
nicS_2,nicS_2,HTH-type transcriptional repressor NicS,10,10,1.0,1,2776,,,,666,666,666.0,JPLAHNLF_02811,JAGMMPDK_02499,EONIFOAI_03982,BJIDENJG_04025,HGPKINJB_02489,IJMDIMPO_03362,CJGAGBCL_01691,OLBBELCE_02659,DHHEPMPN_01318,IHHDMFPH_01844
rcsC_15,rcsC_15,Sensor histidine kinase RcsC,10,10,1.0,1,2775,,,,666,666,666.0,JPLAHNLF_01876,JAGMMPDK_01943,EONIFOAI_03402,BJIDENJG_03157,HGPKINJB_02891,IJMDIMPO_02763,CJGAGBCL_03722,OLBBELCE_04966,DHHEPMPN_00975,IHHDMFPH_02834
alkB,alkB,Alpha-ketoglutarate-dependent dioxygenase AlkB,10,10,1.0,1,2774,,,,666,666,666.0,JPLAHNLF_01321,JAGMMPDK_01401,EONIFOAI_00923,BJIDENJG_00807,HGPKINJB_01361,IJMDIMPO_01685,CJGAGBCL_01286,OLBBELCE_02103,DHHEPMPN_00599,IHHDMFPH_00177
group_1126,,putative ABC transporter ATP-binding protein,10,10,1.0,1,2771,,,,669,669,669.0,JPLAHNLF_04433,JAGMMPDK_03949,EONIFOAI_01932,BJIDENJG_02066,HGPKINJB_03004,IJMDIMPO_03065,CJGAGBCL_03608,OLBBELCE_03277,DHHEPMPN_02177,IHHDMFPH_03704
