unique_id	genome_name	kegg_module	module_name	module_class	module_category	module_subcategory	module_definition	module_completeness	module_is_complete	kofam_hits_in_module	gene_caller_ids_in_module	warnings	genome
157	PF_Cali	M00882	Lipoic acid biosynthesis, eukaryotes, octanoyl-ACP => dihydrolipoyl-H	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	K23735 K03644	0.5	False	K03644	3024	None	CP12E
158	PF_Cali	M00883	Lipoic acid biosynthesis, animals and bacteria, octanoyl-ACP => dihydrolipoyl-H => dihydrolipoyl-E2	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	(K23735,K23734) K03644 (K10105,K16869)	0.666666666666667	False	K03644,K16869	3024,592	None	CP12E
159	PF_Cali	M00884	Lipoic acid biosynthesis, octanoyl-CoA => dihydrolipoyl-E2	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	K23750 K03644	0.5	False	K03644	3024	None	CP12E
160	PF_Cali	M00126	Tetrahydrofolate biosynthesis, GTP => THF	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	(K01495,K09007,K22391) (K01077,K01113,(K08310,K19965)) ((K13939,(K13940,K01633 K00950) K00796),(K01633 K13941)) (K11754,K20457) (K00287,K13998)	1	True	K00287,K00796,K00950,K00950,K01113,K01113,K01495,K01495,K01495,K01633,K09007,K11754	348,2887,562,2868,1970,5748,776,4610,1503,561,52,5877	None	CP12E
161	PF_Cali	M00840	Tetrahydrofolate biosynthesis, mediated by ribA and trpF, GTP => THF	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	K14652 K22100 -- K01633 K13941 K22099 K00287	0.428571428571429	False	K00287,K01633,K14652	348,561,5964	-- steps are assumed incomplete	CP12E
162	PF_Cali	M00841	Tetrahydrofolate biosynthesis, mediated by PTPS, GTP => THF	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	K01495 K22101 K13941 K11754 K13998	0.4	False	K01495,K01495,K01495,K11754	776,4610,1503,5877	None	CP12E
163	PF_Cali	M00842	Tetrahydrobiopterin biosynthesis, GTP => BH4	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	K01495 K01737 K00072	0.666666666666667	False	K01495,K01495,K01495,K01737	776,4610,1503,4468	None	CP12E
164	PF_Cali	M00843	L-threo-Tetrahydrobiopterin biosynthesis, GTP => L-threo-BH4	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	K01495 K01737 K17745	0.666666666666667	False	K01495,K01495,K01495,K01737	776,4610,1503,4468	None	CP12E
165	PF_Cali	M00880	Molybdenum cofactor biosynthesis, GTP => molybdenum cofactor	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	((K03639 K03637),K20967) (K03635,K21142) (((K03831,K03638) K03750),K15376)	1	True	K03635,K03637,K03638,K03639,K03750	2159,2157,3719,1222,3718	None	CP12E
166	PF_Cali	M00140	C1-unit interconversion, prokaryotes	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	K00600 (K01491,(K00300 K01500)) K01938	0.666666666666667	False	K00600,K00600,K01491	498,2944,4979	None	CP12E
167	PF_Cali	M00141	C1-unit interconversion, eukaryotes	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	K00600 (K00288,(K13403 K13402))	0.5	False	K00600,K00600	498,2944	None	CP12E
168	PF_Cali	M00846	Siroheme biosynthesis, glutamyl-tRNA => siroheme	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	K02492 K01845 K01698 K01749 (K01719,K13542,K13543) (K02302,(K00589,K02303,K02496,K13542,K13543)+K02304-K03794)	1	True	K01698,K01698,K01719,K01749,K01845,K02302,K02303,K02303,K02304,K02492,K02496	4439,236,217,216,3008,2449,1122,2449,2449,1853,218	None	CP12E
169	PF_Cali	M00868	Heme biosynthesis, animals and fungi, glycine => heme	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	K00643 K01698 K01749 K01719 K01599 K00228 K00231 K01772	0.75	True	K00228,K01599,K01698,K01698,K01719,K01749,K01772	2204,2579,4439,236,217,216,1872	None	CP12E
170	PF_Cali	M00121	Heme biosynthesis, plants and bacteria, glutamate => heme	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	K01885 K02492 K01845 K01698 K01749 (K01719,K13542,K13543) K01599 (K00228,K02495) (K00230,K00231,K08973) K01772	1	True	K00228,K01599,K01698,K01698,K01719,K01749,K01772,K01845,K01885,K02492,K02495,K02495,K08973	2204,2579,4439,236,217,216,1872,3008,6107,1853,377,1077,600	None	CP12E
171	PF_Cali	M00926	Heme biosynthesis, bacteria, glutamyl-tRNA => coproporphyrin III => heme	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	K02492 K01845 K01698 K01749 (K01719,K13542) K01599 K00231 K01772 K00435	0.777777777777778	True	K01599,K01698,K01698,K01719,K01749,K01772,K01845,K02492	2579,4439,236,217,216,1872,3008,1853	None	CP12E
172	PF_Cali	M00924	Cobalamin biosynthesis, anaerobic, uroporphyrinogen III => sirohydrochlorin => cobyrinate a,c-diamide	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	(K02302,(K02303,K13542) K02304) (K02190,K03795,K22011) K03394 (K05934,K13541,K21479) K05936 (K02189,K13541) K02188 K05895 (K02191 K03399,K00595) K06042 K02224	0.833333333333333	True	K00595,K02189,K02189,K02224,K02302,K02303,K02303,K02304,K03394,K05895,K05936,K06042,K13541	2759,3118,2763,982,2449,1122,2449,2449,2762,2758,3119,2761,2763	None	CP12E
173	PF_Cali	M00925	Cobalamin biosynthesis, aerobic, uroporphyrinogen III => precorrin 2 => cobyrinate a,c-diamide	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	(K02303,K13542) (K03394,K13540) K02229 (K05934,K13540,K13541) K05936 K02228 K05895 K00595 K06042 K02224 K02230+K09882+K09883	0.939393939393939	True	K00595,K02224,K02228,K02229,K02230,K02303,K02303,K03394,K05895,K05936,K06042,K13541	2759,982,2342,2760,2550,1122,2449,2762,2758,3119,2761,2763	None	CP12E
174	PF_Cali	M00122	Cobalamin biosynthesis, cobyrinate a,c-diamide => cobalamin	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	(K00798,K19221) K02232 (K02225,K02227) K02231 K00768 (K02226,K22316) K02233	1	True	K00768,K00798,K02225,K02226,K02227,K02231,K02232,K02233,K19221	976,3501,979,975,980,977,978,974,983	None	CP12E
175	PF_Cali	M00117	Ubiquinone biosynthesis, prokaryotes, chorismate (+ polyprenyl-PP) => ubiquinol	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	(K03181,K18240) K03179 (K03182+K03186) K18800 K00568 K03185 K03183 K03184 K00568	0.888888888888889	True	K00568,K03179,K03181,K03182,K03183,K03185,K03186,K18800	3828,109,110,251,5778,268,3045,270	None	CP12E
176	PF_Cali	M00128	Ubiquinone biosynthesis, eukaryotes, 4-hydroxybenzoate + polyprenyl-PP => ubiquinol	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	K06125 K06126 K00591 -- -- K06127 K06134 K00591	0.125	False	K06134	595	-- steps are assumed incomplete	CP12E
177	PF_Cali	M00116	Menaquinone biosynthesis, chorismate (+ polyprenyl-PP) => menaquinol	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	K02552 K02551 K08680 K02549 K01911 K01661 K19222 K02548 K03183	0.222222222222222	False	K03183,K19222	5778,5437	None	CP12E
178	PF_Cali	M00932	Phylloquinone biosynthesis, chorismate (+ phytyl-PP) => phylloquinol	Pathway modules	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	(K02552 K02551 K08680 K02549,K14759) (K01911,K14760) K01661 (K19222,K12073) K23094 K17872 K23095	0.142857142857143	False	K19222	5437	None	CP12E
179	PF_Cali	M00095	C5 isoprenoid biosynthesis, mevalonate pathway	Pathway modules	Biosynthesis of terpenoids and polyketides	Terpenoid backbone biosynthesis	K00626 K01641 K00021 K00869 (K00938,K13273) K01597 K01823	0.285714285714286	False	K00626,K00626,K00626,K00626,K00626,K00626,K00626,K00626,K00626,K01823	749,4432,4281,3279,1257,1186,1556,1725,2348,1757	None	CP12E
180	PF_Cali	M00849	C5 isoprenoid biosynthesis, mevalonate pathway, archaea	Pathway modules	Biosynthesis of terpenoids and polyketides	Terpenoid backbone biosynthesis	K00626 K01641 (K00021,K00054) ((K00869 K17942),(K18689 K18690 K22813)) K06981 K01823	0.285714285714286	False	K00626,K00626,K00626,K00626,K00626,K00626,K00626,K00626,K00626,K01823	749,4432,4281,3279,1257,1186,1556,1725,2348,1757	None	CP12E
181	PF_Cali	M00096	C5 isoprenoid biosynthesis, non-mevalonate pathway	Pathway modules	Biosynthesis of terpenoids and polyketides	Terpenoid backbone biosynthesis	K01662 K00099 (K00991,K12506) K00919 (K01770,K12506) K03526 K03527 K01823	1	True	K00099,K00919,K00991,K01662,K01770,K01823,K03526,K03527	5498,1850,5482,5973,5478,1757,4686,1888	None	CP12E
182	PF_Cali	M00364	C10-C20 isoprenoid biosynthesis, bacteria	Pathway modules	Biosynthesis of terpenoids and polyketides	Terpenoid backbone biosynthesis	K01823 (K00795,K13789,K13787)	1	True	K00795,K01823,K13789	5974,1757,5974	None	CP12E
183	PF_Cali	M00365	C10-C20 isoprenoid biosynthesis, archaea	Pathway modules	Biosynthesis of terpenoids and polyketides	Terpenoid backbone biosynthesis	K01823 K13787	0.5	False	K01823	1757	None	CP12E
184	PF_Cali	M00366	C10-C20 isoprenoid biosynthesis, plants	Pathway modules	Biosynthesis of terpenoids and polyketides	Terpenoid backbone biosynthesis	K01823 K14066 K00787 K13789	0.5	False	K01823,K13789	1757,5974	None	CP12E
185	PF_Cali	M00367	C10-C20 isoprenoid biosynthesis, non-plant eukaryotes	Pathway modules	Biosynthesis of terpenoids and polyketides	Terpenoid backbone biosynthesis	K01823 K00787 K00804	0.333333333333333	False	K01823	1757	None	CP12E
186	PF_Cali	M00793	dTDP-L-rhamnose biosynthesis	Pathway modules	Biosynthesis of terpenoids and polyketides	Polyketide sugar unit biosynthesis	K00973 K01710 (K01790 K00067,K23987)	1	True	K00067,K00067,K00067,K00973,K00973,K01710,K01710,K01790,K01790	5951,1041,1055,1040,1054,5632,1056,5633,1053	None	CP12E
187	PF_Cali	M00673	Cephamycin C biosynthesis, aminoadipate + cycteine + valine => cephamycin C	Pathway modules	Biosynthesis of other secondary metabolites	Biosynthesis of beta-lactams	K12743 K04126 K04127 K12744 K12745 K04128 K18062 K18063	0.125	False	K04127,K04127	3595,2285	None	CP12E
188	PF_Cali	M00736	Nocardicin A biosynthesis, L-pHPG + arginine + serine => nocardicin A	Pathway modules	Biosynthesis of other secondary metabolites	Biosynthesis of beta-lactams	K19102+K19103+K05375 K19104 K19105 K19106	0.0833333333333333	False	K05375	807	None	CP12E
189	PF_Cali	M00848	Aurachin biosynthesis, anthranilate => aurachin A	Pathway modules	Biosynthesis of other secondary metabolites	Biosynthesis of other antibiotics	K09460 K02078+K14245+K14246+K22798 K22799 K22800 K21272 K21271 K22801 K22802	0.03125	False	K02078,K02078,K02078	2599,2598,1230	No KOfam profile for K09460,No KOfam profile for K21272,No KOfam profile for K21271,No KOfam profile for K22801,No KOfam profile for K14246,No KOfam profile for K22799,No KOfam profile for K22798,No KOfam profile for K22802,No KOfam profile for K22800,No KOfam profile for K14245	CP12E
190	PF_Cali	M00835	Pyocyanine biosynthesis, chorismate => pyocyanine	Pathway modules	Biosynthesis of other secondary metabolites	Biosynthesis of other bacterial compounds	K13063 K20261 K06998 K20260 K20262 K21103 K20940	0.142857142857143	False	K06998,K06998	1819,4440	None	CP12E
191	PF_Cali	M00876	Staphyloferrin A biosynthesis, L-ornithine => staphyloferrin A	Pathway modules	Biosynthesis of other secondary metabolites	Biosynthesis of other bacterial compounds	K21898 K23446 K23447	0.333333333333333	False	K23446	994	None	CP12E
192	PF_Cali	M00637	Anthranilate degradation, anthranilate => catechol	Pathway modules	Xenobiotics biodegradation	Aromatics degradation	(K05599+K05600+K11311,K16319+K16320+K18248+K18249)	1	True	K05599,K05600,K11311	4572,4571,4570	None	CP12E
193	PF_Cali	M00568	Catechol ortho-cleavage, catechol => 3-oxoadipate	Pathway modules	Xenobiotics biodegradation	Aromatics degradation	K03381 K01856 K03464 (K01055,K14727)	1	True	K01055,K01055,K01055,K01055,K01856,K03381,K03464	1027,5449,1252,5122,4575,4577,4576	None	CP12E
194	PF_Cali	M00569	Catechol meta-cleavage, catechol => acetyl-CoA / 4-methylcatechol => propanoyl-CoA	Pathway modules	Xenobiotics biodegradation	Aromatics degradation	(K00446,K07104) ((K10217 K01821 K01617),K10216) (K18364,K02554) (K18365,K01666) (K18366,K04073)	0.142857142857143	False	K01821	1492	None	CP12E
195	PF_Cali	M00534	Naphthalene degradation, naphthalene => salicylate	Pathway modules	Xenobiotics biodegradation	Aromatics degradation	K14579+K14580+K14578+K14581 K14582 K14583 K14584 K14585 K00152	0.166666666666667	False	K14584	2824	None	CP12E
196	PF_Cali	M00878	Phenylacetate degradation, phenylaxetate => acetyl-CoA/succinyl-CoA	Pathway modules	Xenobiotics biodegradation	Aromatics degradation	K01912 K02609+K02610+K02611+K02612+K02613 K15866 K02618 K02615 K01692 K00074	0.285714285714286	False	K01692,K01692,K01692,K01692,K01692,K01692,K15866	3748,1552,4387,3206,1554,5360,4387	None	CP12E
197	PF_Cali	M00542	EHEC/EPEC pathogenicity signature, T3SS and effectors	Signature modules	Gene set	Pathogenicity	K03221+K03219+K03222+K03226+K03227+K03228+K03229+K03230+K03224+K03225 K12784 K12787 K12785 K12786 K12788 K16041 K16042	0.125	False	K03219,K03219,K03221,K03222,K03222,K03222,K03224,K03224,K03225,K03225,K03225,K03226,K03226,K03226,K03227,K03227,K03227,K03228,K03228,K03228,K03229,K03229,K03229,K03230,K03230,K03230	1837,951,941,1842,944,2502,1827,956,1830,959,2497,1831,960,2496,1832,961,2495,1833,962,2494,1834,963,2493,1825,955,2510	None	CP12E
198	PF_Cali	M00575	Pertussis pathogenicity signature, T1SS	Signature modules	Gene set	Pathogenicity	K22944 K11004 K07389 K11003 K12340	0.2	False	K12340,K12340,K12340	1404,2652,5060	None	CP12E
199	PF_Cali	M00745	Imipenem resistance, repression of porin OprD	Signature modules	Gene set	Drug resistance	(K18072 K18073),(K07644 K07665),K18297 K18093	1	True	K07644,K07644,K07644,K07644,K07644,K07665,K07665,K07665,K07665,K07665,K18072,K18073,K18093,K18093,K18093,K18093,K18093,K18093,K18093,K18093,K18093,K18297,K18297,K18297,K18297,K18297,K18297	641,1508,4302,1806,2115,640,1507,4303,1807,2116,3874,3873,1463,5627,1808,3506,2114,1248,1988,3337,4960,5402,5330,1385,4056,2250,5405	None	CP12E
200	PF_Cali	M00725	Cationic antimicrobial peptide (CAMP) resistance, dltABCD operon	Signature modules	Gene set	Drug resistance	K19077 K19078 K03367+K03739+K14188+K03740	0.0833333333333333	False	K03367,K03367,K03367,K03367	2547,2546,2291,2290	None	CP12E
201	PF_Cali	M00726	Cationic antimicrobial peptide (CAMP) resistance, lysyl-phosphatidylglycerol (L-PG) synthase MprF	Signature modules	Gene set	Drug resistance	K19077 K19078 K14205	0.333333333333333	False	K14205	3434	None	CP12E
202	PF_Cali	M00744	Cationic antimicrobial peptide (CAMP) resistance, protease PgtE	Signature modules	Gene set	Drug resistance	K07637 K07660 K08477	0.666666666666667	False	K07637,K07637,K07660	4462,1772,1771	None	CP12E
203	PF_Cali	M00718	Multidrug resistance, efflux pump MexAB-OprM	Signature modules	Gene set	Drug resistance	K18131 K03585+K18138+K18139	0.5	False	K03585,K03585,K03585,K03585,K03585,K03585,K03585,K03585,K03585,K18138,K18138,K18138,K18139,K18139,K18139,K18139,K18139	3687,5296,1468,1373,5582,3266,3236,4973,2118,5295,1372,3267,5294,4823,4786,5595,3233	None	CP12E
204	PF_Cali	M00641	Multidrug resistance, efflux pump MexEF-OprN	Signature modules	Gene set	Drug resistance	K18297 K18298+K18299-K18300	1	True	K18297,K18297,K18297,K18297,K18297,K18297,K18298,K18299,K18300	5402,5330,1385,4056,2250,5405,1373,1372,1371	None	CP12E
205	PF_Cali	M00642	Multidrug resistance, efflux pump MexJK-OprM	Signature modules	Gene set	Drug resistance	K18301 K18302+K18303-K18139	1	True	K18139,K18139,K18139,K18139,K18139,K18301,K18302,K18303	5294,4823,4786,5595,3233,5583,5582,5581	None	CP12E
206	PF_Cali	M00643	Multidrug resistance, efflux pump MexXY-OprM	Signature modules	Gene set	Drug resistance	K18129 K18094+K18095+K18139	0.166666666666667	False	K18139,K18139,K18139,K18139,K18139	5294,4823,4786,5595,3233	None	CP12E
207	PF_Cali	M00769	Multidrug resistance, efflux pump MexPQ-OpmE	Signature modules	Gene set	Drug resistance	K18304 K19591 K19595+K19594+K19593	0.333333333333333	False	K19591	1723	None	CP12E
208	PF_Cali	M00649	Multidrug resistance, efflux pump AdeABC	Signature modules	Gene set	Drug resistance	K18143 K18144 K18145+K18146-K18147	0.666666666666667	False	K18143,K18144	4370,4369	None	CP12E
209	PF_Cali	M00696	Multidrug resistance, efflux pump AcrEF-TolC	Signature modules	Gene set	Drug resistance	K18140 K18141+K18142+K12340	0.166666666666667	False	K12340,K12340,K12340	1404,2652,5060	None	CP12E
210	PF_Cali	M00697	Multidrug resistance, efflux pump MdtEF-TolC	Signature modules	Gene set	Drug resistance	K07690 K18898+K18899+K12340	0.666666666666667	False	K07690,K07690,K07690,K12340,K12340,K12340	3735,4392,5155,1404,2652,5060	None	CP12E
211	PF_Cali	M00698	Multidrug resistance, efflux pump BpeEF-OprC	Signature modules	Gene set	Drug resistance	K18900 K18901+K18902+K18903	0.666666666666667	False	K18900,K18900,K18900,K18900,K18900,K18903,K18903	3637,4052,2774,3379,4847,3233,4972	None	CP12E
212	PF_Cali	M00660	Xanthomonas spp. pathogenicity signature, T3SS and effectors	Signature modules	Gene set	Plant pathogenicity	K03222+K03226+K03227+K03228+K03229+K03230+K03224+K03225+K03223+K18374+K18376 K18373 K18375 K18377 K18378 K18379 K18380 K18381	0.102272727272727	False	K03222,K03222,K03222,K03223,K03224,K03224,K03225,K03225,K03225,K03226,K03226,K03226,K03227,K03227,K03227,K03228,K03228,K03228,K03229,K03229,K03229,K03230,K03230,K03230	1842,944,2502,2500,1827,956,1830,959,2497,1831,960,2496,1832,961,2495,1833,962,2494,1834,963,2493,1825,955,2510	None	CP12E
213	PF_Cali	M00664	Nodulation	Signature modules	Gene set	Symbiosis	K14658 K14659 K14666 K14657	0.25	False	K14657	5592	None	CP12E
214	PF_Cali	M00611	Oxygenic photosynthesis in plants and cyanobacteria	Signature modules	Module set	Metabolic capacity	(M00161,M00163) M00165	0.363636363636364	False	K00134,K00134,K00134,K00615,K00615,K00927,K01623,K01624,K01807,K01808,K03841	4293,446,3466,3982,445,447,3160,450,327,3964,5814	None	CP12E
215	PF_Cali	M00612	Anoxygenic photosynthesis in purple bacteria	Signature modules	Module set	Metabolic capacity	M00597 M00165	0.363636363636364	False	K00134,K00134,K00134,K00615,K00615,K00927,K01623,K01624,K01807,K01808,K03841	4293,446,3466,3982,445,447,3160,450,327,3964,5814	None	CP12E
216	PF_Cali	M00613	Anoxygenic photosynthesis in green nonsulfur bacteria	Signature modules	Module set	Metabolic capacity	M00597 M00376	0.153846153846154	False	K00239,K00240,K00241,K00242,K01676,K01679,K01679,K01961,K01962,K01963,K02160,K05606	4321,4322,4319,4320,3479,2036,746,1764,5488,5876,1763,6080	None	CP12E
217	PF_Cali	M00614	Anoxygenic photosynthesis in green sulfur bacteria	Signature modules	Module set	Metabolic capacity	M00598 M00173	0.318181818181818	False	K00031,K00031,K00239,K00240,K00241,K00242,K01007,K01595,K01676,K01679,K01679,K01681,K01682,K01902,K01903,K01959,K01960	2461,2462,4321,4322,4319,4320,1130,5230,3479,2036,746,4268,4127,4327,4326,70,71	None	CP12E
218	PF_Cali	M00617	Methanogen	Signature modules	Module set	Metabolic capacity	M00567,M00357,M00356,M00563	0.2	False	K00925,K01895,K01895,K13788	3138,6166,2872,1880	None	CP12E
219	PF_Cali	M00618	Acetogen	Signature modules	Module set	Metabolic capacity	M00377 M00579	0.642857142857143	False	K00297,K00925,K01491,K13788	431,3138,4979,1880	None	CP12E
220	PF_Cali	M00615	Nitrate assimilation	Signature modules	Module set	Metabolic capacity	(K02575,K15576+K15577+K15578-K15579) M00531	0.75	True	K00372,K02575,K15576	1121,1117,1115	None	CP12E
221	PF_Cali	M00616	Sulfate-sulfur assimilation	Signature modules	Module set	Metabolic capacity	(K02048,K23163)+K02046+K02047+K02045 M00176	1	True	K00380,K00381,K00390,K00955,K00955,K00956,K00956,K00957,K00957,K02045,K02046,K02047,K02048	1971,6115,1154,1878,1043,1878,1043,1877,1042,5711,5713,5712,3698	None	CP12E
0	PF_Cali	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	(K00844,K12407,K00845,K00886,K08074,K00918) (K01810,K06859,K13810,K15916) (K00850,K16370,K21071,K00918) (K01623,K01624,K11645,K16305,K16306) K01803 ((K00134,K00150) K00927,K11389) (K01834,K15633,K15634,K15635) K01689 (K00873,K12406)	0.9	True	K00134,K00134,K00134,K00845,K00873,K00873,K00927,K01624,K01689,K01803,K01810,K15633	4285,834,2047,2045,4549,2031,833,830,5421,3015,3029,4193	None	CP13A
1	PF_Cali	M00002	Glycolysis, core module involving three-carbon compounds	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	K01803 ((K00134,K00150) K00927,K11389) (K01834,K15633,K15634,K15635) K01689 (K00873,K12406)	1	True	K00134,K00134,K00134,K00873,K00873,K00927,K01689,K01803,K15633	4285,834,2047,4549,2031,833,5421,3015,4193	None	CP13A
2	PF_Cali	M00003	Gluconeogenesis, oxaloacetate => fructose-6P	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	(K01596,K01610) K01689 (K01834,K15633,K15634,K15635) K00927 (K00134,K00150) K01803 ((K01623,K01624,K11645) (K03841,K02446,K11532,K01086,K04041),K01622)	1	True	K00134,K00134,K00134,K00927,K01610,K01624,K01689,K01803,K03841,K15633	4285,834,2047,833,3090,830,5421,3015,5489,4193	None	CP13A
3	PF_Cali	M00307	Pyruvate oxidation, pyruvate => acetyl-CoA	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	((K00163,K00161+K00162)+K00627+K00382-K13997),K00169+K00170+K00171+(K00172,K00189),K03737	1	True	K00163,K00163,K00382,K00382,K00627	3437,3176,208,3382,3175	None	CP13A
4	PF_Cali	M00009	Citrate cycle (TCA cycle, Krebs cycle)	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	(K01647,K05942) (K01681,K01682) (K00031,K00030) (K00164+K00658+K00382,K00174+K00175-K00177-K00176) (K01902+K01903,K01899+K01900,K18118) (K00234+K00235+K00236+K00237,K00239+K00240+K00241-(K00242,K18859,K18860),K00244+K00245+K00246-K00247) (K01676,K01679,K01677+K01678) (K00026,K00025,K00024,K00116)	1	True	K00031,K00031,K00116,K00116,K00164,K00239,K00240,K00241,K00242,K00382,K00382,K00658,K01647,K01676,K01679,K01679,K01681,K01682,K01902,K01903,K18118	389,388,4349,4071,3380,3378,3379,3376,3377,208,3382,3381,3375,2034,1405,4041,4260,4370,3384,3383,2687	None	CP13A
5	PF_Cali	M00010	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	(K01647,K05942) (K01681,K01682) (K00031,K00030)	1	True	K00031,K00031,K01647,K01681,K01682	389,388,3375,4260,4370	None	CP13A
6	PF_Cali	M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	(K00164+K00658+K00382,K00174+K00175-K00177-K00176) (K01902+K01903,K01899+K01900,K18118) (K00234+K00235+K00236+K00237,K00239+K00240+K00241-(K00242,K18859,K18860),K00244+K00245+K00246-K00247) (K01676,K01679,K01677+K01678) (K00026,K00025,K00024,K00116)	1	True	K00116,K00116,K00164,K00239,K00240,K00241,K00242,K00382,K00382,K00658,K01676,K01679,K01679,K01902,K01903,K18118	4349,4071,3380,3378,3379,3376,3377,208,3382,3381,2034,1405,4041,3384,3383,2687	None	CP13A
7	PF_Cali	M00004	Pentose phosphate pathway (Pentose phosphate cycle)	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	(K13937,((K00036,K19243) (K01057,K07404))) K00033 K01783 (K01807,K01808) K00615 K00616 (K01810,K06859,K13810,K15916)	1	True	K00033,K00036,K00036,K00615,K00615,K00616,K00616,K01057,K01783,K01807,K01808,K01810,K07404	592,1921,593,835,5224,4304,3710,1920,689,956,5242,3029,619	None	CP13A
8	PF_Cali	M00006	Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	(K13937,((K00036,K19243) (K01057,K07404))) K00033	1	True	K00033,K00036,K00036,K01057,K07404	592,1921,593,1920,619	None	CP13A
9	PF_Cali	M00007	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	K00615 (K00616,K13810) K01783 (K01807,K01808)	1	True	K00615,K00615,K00616,K00616,K01783,K01807,K01808	835,5224,4304,3710,689,956,5242	None	CP13A
10	PF_Cali	M00580	Pentose phosphate pathway, archaea, fructose 6P => ribose 5P	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	(K08094 (K08093,K13812),K13831) K01807	0.5	False	K01807	956	None	CP13A
11	PF_Cali	M00005	PRPP biosynthesis, ribose 5P => PRPP	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	K00948	1	True	K00948	5862	None	CP13A
12	PF_Cali	M00008	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	K00036 (K01057,K07404) K01690 K01625	1	True	K00036,K00036,K01057,K01625,K01690,K07404	1921,593,1920,1919,2046,619	None	CP13A
13	PF_Cali	M00308	Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	K05308 K00874 K01625 (K00134 K00927,K00131,K18978)	0.8	True	K00131,K00134,K00134,K00134,K00874,K00874,K00927,K01625	333,4285,834,2047,5254,3512,833,1919	None	CP13A
14	PF_Cali	M00633	Semi-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate-3P	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	K05308 K18126 K11395 (K00131,K18978)	0.25	False	K00131	333	None	CP13A
15	PF_Cali	M00014	Glucuronate pathway (uronate pathway)	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	K00012 ((K12447 K16190),(K00699 (K01195,K14756))) K00002 K13247 -- K03331 (K05351,K00008) K00854	0.333333333333333	False	K00012,K00012,K00854,K00854,K00854,K03331	4868,2549,176,3483,2473,177	-- steps are assumed incomplete	CP13A
16	PF_Cali	M00631	D-Galacturonate degradation (bacteria), D-galacturonate => pyruvate + D-glyceraldehyde 3P	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	K01812 K00041 (K01685,K16849+K16850) K00874 (K01625,K17463)	0.4	False	K00874,K00874,K01625	5254,3512,1919	None	CP13A
